Age_Group,Gender,City_Tier,Occupation,Platform,Gamer_Identity,Mechanical_Keyboard,Setup_Value,Preferred_Aesthetic,Keycap_Material,Color_Theme,Aesthetic_Importance,Interested_Keycaps,Interested_Cables,Interested_DeskMat,Interested_RGB,Discount_Preference,Expected_Spending,Purchase_Interest
16-20,Female,Tier 3,Working Professional,Mobile,4,No,20k-50k,Professional,Metal,Dark,1,0,1,0,1,20-30%,4567.0,Unlikely
26-30,Male,Tier 1,Student,Mobile,1,Yes,<20k,Professional,Metal,White,4,1,0,0,0,5-10%,1915.0,Unlikely
16-20,Male,Tier 3,Working Professional,PC,1,No,50k-1L,Minimal,Metal,Dark,3,0,1,1,1,5-10%,2434.0,Very unlikely
26-30,Female,Tier 1,Working Professional,Mobile,4,Yes,<20k,RGB,Not Sure,Dark,3,1,0,0,0,20-30%,2901.0,Neutral
31-40,Male,Tier 1,Content Creator,PC,4,Yes,<20k,Anime,PBT,RGB,5,1,1,1,0,10-20%,3838.0,Neutral
21-25,Male,Rural,Working Professional,Console,4,Yes,<20k,Gaming,Not Sure,Dark,5,1,1,1,1,Bundle,3387.0,Neutral
16-20,Male,Tier 2,Content Creator,PC,5,No,1L-2L,Minimal,PBT,Dark,5,0,0,1,1,10-20%,5621.0,Neutral
40+,Male,Tier 3,Content Creator,PC,4,No,1L-2L,Gaming,Metal,RGB,4,1,1,1,1,Free Accessory,3954.0,Neutral
31-40,Female,Tier 1,Freelancer,PC,5,Yes,50k-1L,Anime,PBT,White,5,0,1,0,1,Bundle,5130.0,Neutral
16-20,Male,Tier 2,Freelancer,PC,3,Yes,50k-1L,Anime,Not Sure,Dark,2,1,1,1,0,Free Accessory,2973.0,Unlikely
40+,Male,Tier 2,Student,Mobile,1,No,50k-1L,Anime,ABS,Custom,4,0,0,0,0,20-30%,2101.0,Very unlikely
16-20,Female,Tier 2,Working Professional,PC,1,Yes,<20k,Anime,Not Sure,White,4,1,1,1,1,Free Accessory,1761.0,Unlikely
26-30,Female,Tier 2,Student,Console,2,Yes,1L-2L,Gaming,Not Sure,White,5,1,0,0,1,20-30%,3390.0,Neutral
16-20,Female,Tier 2,Working Professional,PC,3,Yes,20k-50k,Minimal,Not Sure,Dark,5,1,0,0,0,Free Accessory,3435.0,Neutral
16-20,Male,Tier 2,Freelancer,Console,4,Yes,<20k,Anime,Not Sure,RGB,4,0,1,0,1,Bundle,4284.0,Neutral
16-20,Male,Tier 1,Freelancer,Mobile,4,Yes,2L+,Professional,Not Sure,White,3,1,0,0,0,Free Accessory,4115.0,Neutral
31-40,Prefer not to say,Tier 3,Working Professional,Console,3,Yes,<20k,Minimal,PBT,RGB,3,0,0,0,1,10-20%,2902.0,Unlikely
16-20,Female,Tier 1,Working Professional,Mobile,4,No,1L-2L,Professional,PBT,Custom,5,0,0,0,1,20-30%,4516.0,Neutral
40+,Male,Tier 2,Freelancer,PC,2,No,2L+,Gaming,ABS,RGB,3,0,0,0,1,5-10%,2346.0,Very unlikely
26-30,Male,Tier 1,Freelancer,Mobile,5,Yes,<20k,Anime,Not Sure,Anime,2,0,0,0,1,Free Accessory,4260.0,Unlikely
26-30,Male,Tier 2,Student,PC,1,No,1L-2L,Minimal,Not Sure,RGB,2,0,1,0,0,20-30%,3069.0,Very unlikely
16-20,Female,Tier 2,Freelancer,Console,3,Yes,1L-2L,Anime,ABS,White,2,0,1,0,1,5-10%,2494.0,Unlikely
31-40,Male,Tier 1,Working Professional,Mobile,1,No,20k-50k,Anime,ABS,RGB,4,1,0,1,0,20-30%,2864.0,Unlikely
31-40,Male,Tier 1,Student,PC,5,Yes,<20k,Minimal,Metal,RGB,4,1,0,0,1,20-30%,5354.0,Neutral
40+,Male,Tier 1,Working Professional,Mobile,3,No,1L-2L,Anime,ABS,Anime,4,0,1,0,1,5-10%,3526.0,Unlikely
16-20,Male,Tier 2,Content Creator,Mobile,5,Yes,50k-1L,Anime,ABS,Anime,4,0,1,0,0,5-10%,4330.0,Neutral
26-30,Female,Tier 3,Student,PC,4,No,1L-2L,RGB,ABS,Dark,4,1,1,1,1,Bundle,4061.0,Neutral
31-40,Male,Tier 1,Working Professional,PC,4,Yes,20k-50k,RGB,Metal,White,5,1,0,1,0,Free Accessory,3959.0,Neutral
16-20,Female,Tier 2,Freelancer,PC,4,No,1L-2L,Minimal,PBT,Dark,3,0,0,0,1,Free Accessory,2833.0,Unlikely
31-40,Prefer not to say,Tier 1,Content Creator,Multiple,5,No,<20k,Minimal,Metal,Anime,5,1,1,0,0,20-30%,4933.0,Likely
31-40,Male,Tier 2,Working Professional,Mobile,5,No,<20k,Anime,PBT,RGB,3,0,0,1,1,10-20%,2998.0,Unlikely
26-30,Male,Tier 3,Student,PC,5,No,2L+,Professional,ABS,Anime,5,1,1,0,1,10-20%,3091.0,Likely
21-25,Male,Tier 1,Working Professional,PC,1,No,<20k,Minimal,Metal,Custom,2,1,1,0,1,20-30%,2356.0,Very unlikely
40+,Female,Tier 2,Content Creator,Console,5,Yes,2L+,Anime,Metal,RGB,1,1,0,1,1,Bundle,3786.0,Unlikely
40+,Male,Tier 1,Student,Mobile,4,Yes,50k-1L,Professional,PBT,Dark,4,1,1,1,1,5-10%,3741.0,Neutral
26-30,Male,Tier 1,Content Creator,PC,2,No,20k-50k,RGB,Metal,RGB,1,1,1,0,0,20-30%,1839.0,Very unlikely
31-40,Female,Tier 1,Working Professional,PC,5,Yes,50k-1L,Minimal,Metal,Custom,1,0,1,0,0,Free Accessory,4373.0,Unlikely
16-20,Male,Tier 1,Freelancer,Mobile,2,No,2L+,Anime,Not Sure,Anime,2,0,1,0,0,10-20%,2224.0,Very unlikely
31-40,Female,Tier 2,Freelancer,PC,4,Yes,1L-2L,RGB,PBT,White,1,1,1,1,1,10-20%,3541.0,Unlikely
26-30,Male,Tier 2,Working Professional,PC,5,No,1L-2L,Gaming,Metal,White,1,0,0,0,1,10-20%,4819.0,Unlikely
40+,Male,Tier 2,Working Professional,Multiple,1,No,50k-1L,RGB,Metal,White,2,0,1,0,1,Bundle,2238.0,Very unlikely
31-40,Male,Tier 1,Working Professional,Mobile,1,No,1L-2L,Anime,ABS,Anime,3,1,0,1,0,Free Accessory,1765.0,Unlikely
40+,Female,Tier 1,Student,PC,2,No,2L+,Professional,Not Sure,White,5,0,0,0,0,Bundle,3300.0,Unlikely
16-20,Male,Tier 2,Content Creator,PC,1,Yes,20k-50k,Gaming,Not Sure,Custom,1,0,1,0,0,5-10%,2025.0,Very unlikely
40+,Female,Rural,Content Creator,PC,1,No,<20k,Gaming,ABS,Anime,4,1,1,0,1,20-30%,1810.0,Unlikely
40+,Female,Tier 1,Content Creator,PC,1,Yes,2L+,Gaming,ABS,White,2,0,1,0,1,20-30%,1350.0,Very unlikely
21-25,Male,Tier 3,Working Professional,Mobile,4,No,2L+,Minimal,ABS,Dark,1,1,0,1,0,10-20%,3426.0,Unlikely
21-25,Prefer not to say,Tier 2,Content Creator,PC,1,No,<20k,Anime,ABS,Anime,3,1,0,1,0,10-20%,2422.0,Unlikely
21-25,Male,Tier 2,Working Professional,Mobile,3,No,<20k,Gaming,Not Sure,Anime,3,0,0,1,0,5-10%,3380.0,Unlikely
40+,Male,Tier 2,Student,Multiple,5,No,20k-50k,RGB,Metal,RGB,4,1,1,0,0,Bundle,4861.0,Neutral
26-30,Male,Tier 1,Freelancer,PC,1,Yes,20k-50k,Professional,Metal,White,1,0,1,0,1,Free Accessory,2026.0,Very unlikely
40+,Female,Tier 1,Working Professional,PC,1,No,20k-50k,Anime,ABS,Dark,4,0,1,0,0,5-10%,1970.0,Unlikely
26-30,Male,Tier 2,Working Professional,Console,1,No,1L-2L,RGB,PBT,Custom,3,1,1,0,1,20-30%,2305.0,Unlikely
26-30,Male,Tier 1,Freelancer,Multiple,3,No,2L+,Minimal,ABS,Anime,3,0,1,1,1,20-30%,4727.0,Unlikely
21-25,Male,Tier 3,Freelancer,Mobile,1,Yes,<20k,Gaming,Metal,Custom,5,0,0,0,1,Bundle,2582.0,Unlikely
31-40,Male,Tier 2,Student,PC,1,No,2L+,RGB,PBT,Custom,3,0,0,0,1,5-10%,2120.0,Very unlikely
16-20,Male,Tier 1,Content Creator,Mobile,5,Yes,2L+,Anime,ABS,Custom,2,0,0,0,1,Free Accessory,3101.0,Unlikely
21-25,Female,Tier 2,Working Professional,Console,3,No,20k-50k,RGB,PBT,RGB,5,0,1,1,1,5-10%,3363.0,Neutral
21-25,Female,Tier 1,Content Creator,Multiple,3,Yes,20k-50k,Minimal,ABS,Custom,4,0,1,0,0,5-10%,4039.0,Unlikely
31-40,Male,Tier 2,Working Professional,PC,1,No,2L+,Professional,Not Sure,White,3,0,0,0,0,Bundle,1235.0,Very unlikely
16-20,Prefer not to say,Tier 2,Student,Console,3,Yes,20k-50k,Gaming,Metal,White,2,1,1,0,0,Free Accessory,3457.0,Unlikely
40+,Male,Tier 3,Freelancer,Mobile,2,No,1L-2L,Anime,ABS,Dark,5,0,0,0,0,20-30%,3200.0,Unlikely
40+,Prefer not to say,Tier 3,Student,PC,3,Yes,<20k,Gaming,PBT,Dark,2,1,1,0,1,10-20%,2808.0,Unlikely
21-25,Male,Tier 2,Freelancer,Console,3,No,2L+,Gaming,Metal,Custom,5,1,1,1,0,Free Accessory,3291.0,Neutral
16-20,Male,Tier 2,Content Creator,PC,3,Yes,<20k,Gaming,ABS,Custom,5,0,1,0,1,20-30%,3616.0,Neutral
21-25,Male,Tier 3,Content Creator,PC,4,No,1L-2L,RGB,ABS,RGB,5,1,1,0,0,Bundle,3939.0,Neutral
26-30,Female,Tier 1,Student,PC,4,Yes,20k-50k,RGB,ABS,Custom,4,1,0,0,0,Free Accessory,4007.0,Neutral
21-25,Male,Tier 1,Freelancer,Multiple,4,No,50k-1L,Professional,ABS,Custom,5,1,1,0,1,Free Accessory,3892.0,Neutral
21-25,Male,Tier 1,Student,PC,3,Yes,1L-2L,Minimal,Not Sure,Custom,5,0,0,0,1,20-30%,3598.0,Unlikely
40+,Male,Tier 1,Freelancer,Console,2,Yes,50k-1L,Anime,Metal,Anime,2,1,0,1,0,20-30%,2510.0,Unlikely
40+,Male,Tier 2,Freelancer,Mobile,3,No,<20k,RGB,Not Sure,Anime,5,1,0,0,0,5-10%,3167.0,Neutral
40+,Male,Tier 2,Content Creator,PC,1,Yes,2L+,Gaming,Metal,RGB,4,1,0,1,1,5-10%,2315.0,Unlikely
26-30,Female,Tier 2,Content Creator,Console,2,Yes,20k-50k,Minimal,ABS,RGB,2,1,0,1,1,Free Accessory,2911.0,Unlikely
40+,Female,Tier 1,Freelancer,Mobile,4,No,1L-2L,Anime,Metal,White,5,1,1,0,1,10-20%,3883.0,Neutral
16-20,Male,Tier 2,Freelancer,Mobile,5,No,20k-50k,Anime,PBT,RGB,2,1,0,0,1,Bundle,4215.0,Neutral
31-40,Female,Tier 1,Freelancer,Mobile,2,No,50k-1L,Anime,Metal,White,4,0,0,1,1,20-30%,2923.0,Unlikely
16-20,Male,Tier 2,Content Creator,Mobile,4,Yes,50k-1L,Anime,PBT,Custom,2,1,0,0,1,5-10%,2533.0,Unlikely
16-20,Female,Tier 2,Content Creator,PC,2,Yes,2L+,Professional,PBT,RGB,4,1,0,1,1,Bundle,1971.0,Unlikely
40+,Female,Tier 1,Working Professional,Multiple,2,No,50k-1L,Anime,Not Sure,RGB,3,0,0,1,1,Free Accessory,2726.0,Very unlikely
31-40,Male,Tier 1,Freelancer,PC,3,Yes,2L+,Minimal,Metal,RGB,5,0,1,0,1,20-30%,3497.0,Neutral
31-40,Female,Tier 1,Working Professional,Mobile,1,No,1L-2L,RGB,ABS,White,4,1,0,0,1,20-30%,2212.0,Unlikely
31-40,Male,Tier 3,Freelancer,PC,5,Yes,2L+,Minimal,Metal,White,5,1,1,1,0,5-10%,5198.0,Likely
26-30,Male,Tier 3,Content Creator,Multiple,4,No,50k-1L,Gaming,Not Sure,Dark,4,0,0,0,1,10-20%,4533.0,Unlikely
40+,Female,Tier 2,Working Professional,Mobile,2,No,<20k,Professional,PBT,White,1,1,1,1,1,20-30%,2051.0,Very unlikely
31-40,Male,Tier 1,Working Professional,Mobile,5,No,2L+,Professional,PBT,White,1,1,1,1,0,10-20%,2967.0,Neutral
26-30,Male,Tier 2,Student,PC,2,Yes,20k-50k,Gaming,Not Sure,Anime,1,0,1,0,1,Bundle,2242.0,Very unlikely
21-25,Male,Tier 2,Freelancer,PC,1,No,<20k,Minimal,Not Sure,RGB,4,1,1,1,0,20-30%,2506.0,Unlikely
21-25,Female,Tier 3,Content Creator,Mobile,5,Yes,2L+,Minimal,Metal,White,5,0,1,1,1,20-30%,4930.0,Neutral
26-30,Male,Tier 1,Student,Mobile,4,No,20k-50k,Gaming,PBT,RGB,1,1,1,1,0,10-20%,3707.0,Unlikely
26-30,Male,Tier 1,Student,PC,2,No,<20k,Anime,Not Sure,RGB,5,1,1,1,1,5-10%,3489.0,Neutral
40+,Female,Tier 2,Freelancer,Multiple,1,Yes,2L+,Anime,Metal,Anime,4,0,0,1,0,Free Accessory,2088.0,Very unlikely
40+,Female,Tier 1,Student,Mobile,5,No,1L-2L,RGB,Metal,RGB,5,0,1,1,0,Bundle,4597.0,Neutral
21-25,Male,Tier 1,Freelancer,PC,2,No,20k-50k,Minimal,ABS,White,5,1,0,0,1,20-30%,2896.0,Neutral
31-40,Male,Tier 1,Student,Mobile,2,Yes,1L-2L,Minimal,PBT,RGB,1,1,0,1,1,5-10%,2135.0,Very unlikely
21-25,Male,Tier 2,Freelancer,Console,4,No,50k-1L,Gaming,Metal,Dark,2,1,0,1,0,20-30%,3654.0,Unlikely
31-40,Male,Tier 3,Content Creator,Console,1,Yes,2L+,Gaming,Not Sure,Dark,3,0,1,0,0,Bundle,2107.0,Very unlikely
31-40,Male,Rural,Freelancer,PC,3,No,2L+,Anime,PBT,Anime,4,0,0,0,0,Free Accessory,3544.0,Unlikely
40+,Female,Tier 2,Freelancer,Console,2,No,20k-50k,Minimal,Not Sure,White,4,0,1,0,1,20-30%,2638.0,Unlikely
16-20,Male,Tier 2,Working Professional,Mobile,5,No,2L+,Minimal,Not Sure,Anime,4,0,1,1,0,10-20%,3829.0,Neutral
16-20,Male,Tier 1,Content Creator,PC,4,Yes,50k-1L,Professional,Metal,Dark,3,0,1,0,0,5-10%,4386.0,Unlikely
26-30,Male,Tier 2,Content Creator,Mobile,4,No,2L+,RGB,Metal,White,2,0,0,1,0,Free Accessory,4132.0,Unlikely
40+,Female,Tier 1,Content Creator,Mobile,2,No,<20k,RGB,ABS,RGB,5,1,0,1,0,20-30%,3486.0,Neutral
31-40,Male,Tier 2,Student,Mobile,2,No,1L-2L,Anime,Not Sure,White,4,0,1,1,1,Free Accessory,2547.0,Unlikely
16-20,Prefer not to say,Tier 1,Working Professional,PC,2,No,50k-1L,Minimal,Metal,Custom,5,0,1,1,1,10-20%,3708.0,Unlikely
31-40,Male,Tier 1,Content Creator,Mobile,3,No,50k-1L,Professional,ABS,White,1,0,1,0,0,20-30%,3434.0,Very unlikely
16-20,Male,Tier 1,Student,Console,2,No,1L-2L,Minimal,PBT,RGB,1,0,1,1,1,Free Accessory,3284.0,Very unlikely
16-20,Male,Tier 1,Student,PC,1,No,1L-2L,Gaming,ABS,Custom,1,1,0,1,1,20-30%,1370.0,Very unlikely
16-20,Male,Tier 1,Student,PC,5,Yes,50k-1L,Anime,ABS,Anime,4,0,0,1,0,20-30%,3787.0,Neutral
40+,Male,Tier 1,Working Professional,Console,2,No,1L-2L,RGB,Not Sure,White,3,1,0,1,0,Free Accessory,3297.0,Unlikely
21-25,Male,Rural,Student,Mobile,3,Yes,20k-50k,Minimal,PBT,Anime,4,0,0,1,1,20-30%,4242.0,Unlikely
31-40,Male,Tier 2,Working Professional,PC,5,Yes,1L-2L,Anime,Not Sure,White,1,1,0,1,1,10-20%,4050.0,Unlikely
40+,Female,Tier 2,Freelancer,Mobile,4,No,<20k,RGB,Not Sure,Dark,1,0,1,0,0,Free Accessory,3467.0,Unlikely
40+,Male,Tier 3,Student,PC,2,No,<20k,Minimal,ABS,Dark,4,0,1,0,0,Free Accessory,2822.0,Unlikely
40+,Female,Rural,Content Creator,Console,5,No,20k-50k,Professional,ABS,RGB,3,0,0,1,0,10-20%,3799.0,Unlikely
40+,Male,Tier 2,Student,Multiple,4,No,1L-2L,Anime,Metal,Dark,3,0,1,1,0,10-20%,4462.0,Unlikely
40+,Male,Tier 3,Freelancer,Mobile,3,No,<20k,Minimal,ABS,Custom,5,1,0,1,0,10-20%,3636.0,Neutral
26-30,Male,Tier 1,Freelancer,PC,1,No,2L+,RGB,Metal,Custom,2,1,1,1,1,20-30%,1691.0,Very unlikely
31-40,Male,Tier 1,Student,Console,2,No,1L-2L,RGB,Not Sure,White,1,0,1,1,0,20-30%,2057.0,Very unlikely
40+,Male,Tier 2,Freelancer,PC,1,Yes,20k-50k,Professional,ABS,Anime,3,0,1,0,0,Bundle,1843.0,Very unlikely
31-40,Male,Tier 2,Working Professional,PC,3,Yes,1L-2L,Anime,PBT,Custom,1,1,0,1,0,20-30%,2777.0,Unlikely
26-30,Male,Tier 2,Working Professional,Mobile,5,Yes,50k-1L,Anime,PBT,White,2,1,0,0,0,10-20%,4746.0,Neutral
26-30,Male,Tier 1,Student,Mobile,5,No,50k-1L,Minimal,Not Sure,Anime,1,1,0,0,1,Bundle,2928.0,Unlikely
31-40,Male,Tier 1,Working Professional,PC,3,No,<20k,RGB,Not Sure,Dark,3,0,1,0,1,10-20%,3988.0,Unlikely
16-20,Female,Tier 2,Working Professional,Multiple,3,Yes,50k-1L,RGB,ABS,White,5,1,1,0,1,5-10%,3735.0,Neutral
21-25,Female,Tier 1,Content Creator,Console,2,No,20k-50k,Professional,Metal,Anime,4,0,1,0,1,Free Accessory,4408.0,Unlikely
16-20,Female,Tier 2,Student,PC,4,Yes,<20k,Professional,ABS,RGB,4,0,1,1,1,5-10%,4611.0,Neutral
16-20,Female,Tier 2,Freelancer,Console,1,Yes,20k-50k,Anime,Metal,RGB,3,1,1,1,1,10-20%,2811.0,Unlikely
16-20,Male,Tier 2,Student,Mobile,1,No,20k-50k,RGB,ABS,Custom,3,0,0,1,0,20-30%,1506.0,Very unlikely
40+,Male,Tier 3,Working Professional,Console,5,No,50k-1L,Minimal,PBT,Anime,2,0,0,1,0,Free Accessory,3403.0,Unlikely
26-30,Female,Tier 3,Content Creator,Console,5,Yes,50k-1L,Gaming,PBT,RGB,1,1,1,0,0,20-30%,3918.0,Neutral
16-20,Male,Tier 2,Student,Console,2,No,20k-50k,Minimal,Metal,Custom,2,0,0,0,1,20-30%,1732.0,Very unlikely
26-30,Male,Tier 2,Student,PC,3,No,50k-1L,Professional,ABS,White,4,1,1,1,1,Free Accessory,4381.0,Neutral
31-40,Male,Tier 2,Working Professional,Mobile,1,No,50k-1L,Minimal,Not Sure,White,1,1,1,0,1,Free Accessory,1541.0,Very unlikely
21-25,Male,Tier 1,Working Professional,Console,2,Yes,50k-1L,RGB,Metal,Anime,2,1,0,1,0,5-10%,2983.0,Unlikely
31-40,Male,Tier 1,Student,PC,5,No,1L-2L,Anime,PBT,Anime,4,0,1,0,1,10-20%,3788.0,Neutral
31-40,Female,Tier 1,Working Professional,Mobile,5,Yes,20k-50k,Gaming,Metal,Anime,1,1,0,0,0,20-30%,3720.0,Unlikely
40+,Male,Tier 2,Working Professional,Multiple,1,No,2L+,Anime,ABS,Anime,5,1,0,0,1,10-20%,4089.0,Unlikely
21-25,Male,Tier 2,Working Professional,Multiple,5,No,20k-50k,Gaming,Not Sure,RGB,5,0,0,0,0,10-20%,4483.0,Neutral
31-40,Prefer not to say,Tier 3,Working Professional,PC,5,No,<20k,Gaming,Not Sure,RGB,2,0,1,1,1,Bundle,4411.0,Unlikely
31-40,Male,Tier 1,Working Professional,PC,4,Yes,50k-1L,RGB,Metal,Custom,3,1,0,0,0,5-10%,3623.0,Neutral
21-25,Male,Tier 1,Content Creator,Console,3,Yes,50k-1L,RGB,ABS,RGB,1,0,1,1,0,20-30%,2684.0,Very unlikely
21-25,Male,Rural,Working Professional,PC,5,Yes,2L+,Professional,ABS,White,2,0,1,1,1,Free Accessory,4099.0,Unlikely
31-40,Female,Tier 1,Freelancer,Multiple,4,No,<20k,Professional,Not Sure,Custom,3,0,1,0,1,Free Accessory,4208.0,Unlikely
21-25,Female,Tier 2,Student,PC,2,Yes,1L-2L,Gaming,PBT,RGB,3,0,1,1,0,10-20%,2892.0,Unlikely
31-40,Male,Tier 2,Content Creator,PC,5,Yes,20k-50k,Professional,ABS,Anime,1,0,1,1,1,5-10%,3896.0,Unlikely
31-40,Female,Tier 2,Content Creator,PC,2,No,1L-2L,RGB,Not Sure,RGB,1,1,1,1,1,5-10%,2628.0,Very unlikely
40+,Male,Tier 1,Working Professional,PC,5,No,<20k,Professional,Not Sure,Dark,3,1,1,1,0,20-30%,3758.0,Neutral
16-20,Female,Tier 1,Student,Mobile,1,No,2L+,Gaming,ABS,Custom,4,1,1,0,0,20-30%,2363.0,Unlikely
31-40,Female,Tier 1,Freelancer,Console,4,Yes,<20k,Anime,ABS,RGB,2,0,0,0,0,10-20%,3389.0,Unlikely
26-30,Female,Tier 2,Working Professional,PC,4,No,2L+,Minimal,Metal,RGB,1,0,0,0,1,10-20%,3211.0,Very unlikely
16-20,Male,Tier 2,Student,PC,1,No,1L-2L,Professional,PBT,White,3,1,1,0,0,10-20%,2937.0,Unlikely
16-20,Prefer not to say,Tier 1,Working Professional,Console,3,No,1L-2L,RGB,Metal,Anime,4,1,1,1,1,Bundle,3357.0,Neutral
16-20,Female,Tier 2,Working Professional,PC,4,Yes,<20k,Anime,Metal,Anime,5,1,0,1,1,5-10%,3847.0,Neutral
40+,Male,Tier 3,Working Professional,Mobile,2,No,<20k,RGB,Not Sure,White,3,0,0,0,0,10-20%,2893.0,Very unlikely
31-40,Female,Tier 1,Working Professional,Console,4,No,50k-1L,Professional,Not Sure,White,4,1,0,0,1,5-10%,4035.0,Neutral
40+,Male,Tier 2,Working Professional,Mobile,3,No,2L+,Gaming,PBT,Dark,5,0,0,1,1,Free Accessory,3914.0,Unlikely
31-40,Female,Tier 2,Working Professional,Multiple,2,No,50k-1L,Minimal,Metal,Custom,4,1,0,0,0,Free Accessory,3148.0,Unlikely
40+,Male,Tier 1,Working Professional,Multiple,2,Yes,20k-50k,Minimal,Metal,Anime,1,1,0,1,0,5-10%,2501.0,Very unlikely
40+,Female,Tier 1,Freelancer,Multiple,1,Yes,20k-50k,Anime,Not Sure,White,3,0,1,0,1,Free Accessory,2977.0,Very unlikely
26-30,Male,Tier 2,Content Creator,PC,5,No,<20k,Minimal,Not Sure,White,5,0,0,1,0,Free Accessory,4131.0,Neutral
40+,Male,Tier 3,Freelancer,PC,1,No,1L-2L,Gaming,ABS,Custom,4,1,0,1,0,Free Accessory,3086.0,Unlikely
21-25,Male,Tier 3,Working Professional,PC,5,No,20k-50k,RGB,Metal,White,5,1,0,0,1,20-30%,4428.0,Likely
26-30,Male,Tier 2,Working Professional,Mobile,1,No,20k-50k,Gaming,PBT,Dark,2,1,0,0,0,20-30%,3713.0,Very unlikely
40+,Male,Tier 2,Freelancer,Multiple,5,No,50k-1L,Anime,Metal,Custom,3,0,1,0,0,5-10%,3880.0,Neutral
16-20,Male,Tier 1,Freelancer,Mobile,4,No,50k-1L,Anime,Not Sure,Dark,1,0,1,1,1,5-10%,3135.0,Unlikely
21-25,Male,Tier 2,Content Creator,PC,2,Yes,20k-50k,Minimal,ABS,RGB,5,1,1,0,1,Bundle,4131.0,Neutral
21-25,Male,Tier 2,Freelancer,Multiple,5,No,<20k,Gaming,Metal,Anime,4,1,1,0,1,20-30%,3508.0,Neutral
21-25,Male,Tier 1,Content Creator,PC,4,Yes,50k-1L,RGB,PBT,White,5,1,1,0,0,5-10%,4234.0,Neutral
26-30,Female,Tier 2,Working Professional,PC,3,Yes,20k-50k,Gaming,Not Sure,Custom,4,0,1,0,0,20-30%,4362.0,Unlikely
40+,Male,Tier 2,Student,PC,1,No,1L-2L,RGB,ABS,Dark,5,1,1,0,1,Bundle,2967.0,Neutral
40+,Female,Tier 1,Student,PC,3,No,50k-1L,RGB,Metal,Anime,1,1,1,1,0,5-10%,1730.0,Unlikely
16-20,Female,Tier 3,Student,Console,4,No,20k-50k,Gaming,PBT,Anime,1,0,0,0,0,5-10%,3370.0,Very unlikely
16-20,Male,Tier 1,Student,PC,3,No,2L+,Professional,Not Sure,White,3,1,0,0,0,5-10%,2371.0,Unlikely
21-25,Male,Tier 1,Working Professional,Console,3,No,50k-1L,Gaming,PBT,Anime,1,1,1,0,0,5-10%,3563.0,Unlikely
16-20,Female,Tier 1,Student,Mobile,4,Yes,2L+,RGB,Metal,White,5,0,1,0,1,10-20%,4620.0,Neutral
26-30,Male,Tier 3,Freelancer,Mobile,2,No,50k-1L,Anime,Not Sure,RGB,5,0,1,1,1,20-30%,3609.0,Unlikely
40+,Male,Tier 2,Freelancer,Mobile,5,No,50k-1L,Anime,Metal,White,1,1,0,1,0,20-30%,4498.0,Unlikely
21-25,Male,Tier 1,Student,PC,1,No,2L+,Minimal,ABS,Dark,2,0,1,0,0,20-30%,1987.0,Very unlikely
16-20,Female,Tier 2,Freelancer,Mobile,5,Yes,<20k,Anime,Metal,Anime,5,0,1,0,0,Bundle,4231.0,Neutral
26-30,Male,Tier 1,Content Creator,Multiple,1,Yes,20k-50k,Professional,ABS,Anime,3,0,1,0,1,10-20%,2396.0,Very unlikely
26-30,Male,Tier 3,Working Professional,PC,5,No,<20k,RGB,Metal,Anime,2,0,1,1,1,20-30%,3843.0,Unlikely
16-20,Prefer not to say,Tier 2,Student,Console,3,No,<20k,Gaming,PBT,White,1,0,0,1,1,20-30%,2533.0,Very unlikely
40+,Female,Tier 2,Student,PC,2,No,20k-50k,Gaming,PBT,Custom,4,0,1,0,1,5-10%,2327.0,Unlikely
16-20,Male,Tier 3,Working Professional,PC,3,No,1L-2L,Professional,Not Sure,White,5,0,0,1,1,5-10%,4702.0,Unlikely
21-25,Male,Tier 1,Freelancer,Mobile,2,No,<20k,Anime,PBT,Dark,4,1,0,1,0,5-10%,1915.0,Unlikely
16-20,Female,Tier 1,Working Professional,Mobile,4,No,<20k,RGB,PBT,White,3,0,1,1,0,20-30%,4856.0,Unlikely
26-30,Male,Tier 2,Working Professional,PC,1,No,<20k,Anime,ABS,Anime,2,0,0,1,1,5-10%,2956.0,Very unlikely
16-20,Male,Rural,Freelancer,Mobile,1,No,1L-2L,Minimal,PBT,RGB,4,0,1,1,1,20-30%,3319.0,Unlikely
40+,Male,Tier 1,Working Professional,Mobile,4,Yes,50k-1L,Anime,ABS,Dark,3,0,0,1,0,Bundle,3109.0,Unlikely
31-40,Female,Tier 1,Freelancer,Multiple,5,No,2L+,Minimal,ABS,RGB,4,1,1,0,1,Bundle,3530.0,Neutral
16-20,Male,Tier 1,Freelancer,PC,4,No,2L+,Gaming,ABS,Dark,4,1,0,1,0,Free Accessory,3993.0,Neutral
40+,Female,Tier 2,Working Professional,Multiple,4,No,1L-2L,RGB,Metal,Dark,3,0,0,0,1,10-20%,4671.0,Unlikely
40+,Female,Tier 1,Content Creator,PC,2,Yes,<20k,Minimal,ABS,Anime,5,1,1,1,0,5-10%,3770.0,Neutral
26-30,Male,Tier 2,Freelancer,Console,4,No,2L+,Anime,Metal,White,4,1,0,0,1,5-10%,3641.0,Neutral
40+,Male,Rural,Working Professional,PC,1,No,1L-2L,Anime,ABS,Anime,3,1,1,1,0,10-20%,3251.0,Unlikely
40+,Male,Tier 2,Freelancer,PC,3,No,20k-50k,Gaming,Metal,Anime,4,1,1,0,0,10-20%,4190.0,Neutral
